number,latency,type,duration
1,1,0,0
2,66164,6,0
3,66760,6,0
4,67374,6,0
5,67989,6,0
6,68603,6,0
7,69217,6,0
8,69831,6,0
9,70445,6,0
10,71060,6,0
11,71674,6,0
12,72288,6,0
13,72902,6,0
14,73517,6,0
15,74131,6,0
16,74745,6,0
17,75359,6,0
18,75973,6,0
19,76588,6,0
20,77202,6,0
21,77816,6,0
22,78430,6,0
23,79045,6,0
24,79659,6,0
25,80273,6,0
26,80887,6,0
27,81502,6,0
28,82116,6,0
29,82730,6,0
30,83344,6,0
31,83959,6,0
32,84573,6,0
33,85187,6,0
34,85801,6,0
35,86416,6,0
36,87030,6,0
37,87644,6,0
38,88258,6,0
39,88873,6,0
40,89487,6,0
41,90101,6,0
42,90715,6,0
43,91329,6,0
44,91944,6,0
45,92558,6,0
46,93172,6,0
47,93786,6,0
48,94401,6,0
49,95015,6,0
50,95629,6,0
51,96243,6,0
52,96858,6,0
53,97472,6,0
54,98086,6,0
55,98700,6,0
56,99314,6,0
57,99929,6,0
58,100543,6,0
59,101157,6,0
60,101771,6,0
61,102386,6,0
62,103000,6,0
63,103614,6,0
64,104228,6,0
65,104843,6,0
66,105457,6,0
67,106071,6,0
68,106685,6,0
69,107300,6,0
70,107914,6,0
71,108528,6,0
72,109142,6,0
73,109757,6,0
74,110371,6,0
75,110985,6,0
76,111599,6,0
77,112213,6,0
78,112828,6,0
79,113442,6,0
80,114056,6,0
81,114670,6,0
82,115285,6,0
83,115899,6,0
84,116513,6,0
85,117127,6,0
86,117742,6,0
87,118356,6,0
88,118970,6,0
89,119584,6,0
90,120199,6,0
91,120813,6,0
92,121427,6,0
93,122041,6,0
94,122655,6,0
95,123270,6,0
96,123884,6,0
97,124498,6,0
98,125112,6,0
99,125727,6,0
100,126341,6,0
101,126955,6,0
102,127569,6,0
103,128184,6,0
104,128798,6,0
105,129412,6,0
106,130026,6,0
107,130641,6,0
108,131255,6,0
109,131869,6,0
110,132483,6,0
111,133098,6,0
112,133712,6,0
113,134326,6,0
114,134940,6,0
115,135555,6,0
116,136169,6,0
117,136783,6,0
118,137397,6,0
119,138012,6,0
120,138626,6,0
121,139240,6,0
122,139854,6,0
123,140468,6,0
124,141083,6,0
125,141697,6,0
126,142311,6,0
127,142925,6,0
128,143540,6,0
129,144154,6,0
130,144768,6,0
131,145382,6,0
132,145997,6,0
133,146611,6,0
134,147225,6,0
135,147839,6,0
136,148454,6,0
137,149068,6,0
138,149682,6,0
139,150296,6,0
140,150911,6,0
141,151525,6,0
142,156592,3,0
143,157206,3,0
144,157821,3,0
145,158435,3,0
146,159049,3,0
147,159663,3,0
148,160278,3,0
149,160892,3,0
150,161506,3,0
151,162120,3,0
152,162735,3,0
153,163349,3,0
154,163963,3,0
155,164577,3,0
